Museum,Species,Country,Province,Latitude,Longitude,Sex,Mature,HeadL,HeadWP,SnEye,NarEye,EyeD,IntOrb,IntNar,SVL,TrunkL,ForarmL,HandL,ThreeFingL,ThighL,CrusL,TarsL,FootL,HindlL,FourToeL,HeadL/SVL,HeadWP/HeadL,SnEy/HeadL,NarEy/SnEy,Intnar/SnEy,EyeD/SnEy,TrunkL/SVL,ForeaL/SVL,3FingL/HandL,ForeaL/ThighL,HindL/SVL,ThighL/SVL,CrusL/SVL,CrusL/ThighL,FootL/HindlL,4ToeL/FootL,FootL/SVL,Comments
CAS 231521,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Female,1,7.2,6.8,3,1.8,2.4,5.4,1.9,22.4,10.8,5.6,6.5,4.3,10.8,11.2,6.7,12.2,40.9,7.2,0.321,0.944,0.417,0.6,0.633,0.8,0.482,0.25,0.662,0.519,1.826,0.482,0.5,1.037,0.298,0.59,0.545,"*Note that many of the USNM/FMNH Thai Micryletta do not have exact GPS data available (only district-level locality), thus were centrally geolocated for mapping purposes."
CAS 231522,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Female,1,6.8,7,2.8,1.6,2.5,5.5,2.1,22.2,10,5.6,6,4.1,10.9,11.2,6,11.6,39.7,7.6,0.306,1.029,0.412,0.571,0.75,0.893,0.45,0.252,0.683,0.514,1.788,0.491,0.505,1.028,0.292,0.655,0.523,
CAS 231524,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Female,1,6.7,7,3,1.8,2.4,5.2,2.1,23,12.4,5.7,6.3,4.2,11.1,10.9,6.5,11.6,40.1,7,0.291,1.045,0.448,0.6,0.7,0.8,0.539,0.248,0.667,0.514,1.743,0.483,0.474,0.982,0.289,0.603,0.504,
CAS 231508,Micryletta aishani,Myanmar,Kachin,25.259222,96.330028,Male,1,6.2,6,2.9,1.4,2.5,4.8,1.6,18.8,7.4,4.3,4.7,3.1,8.7,8.7,5.3,9.6,32.3,5.9,0.33,0.968,0.468,0.483,0.552,0.862,0.394,0.229,0.66,0.494,1.718,0.463,0.463,1,0.297,0.615,0.511,
CAS 231509,Micryletta aishani,Myanmar,Kachin,25.259222,96.330028,Male,1,6.4,6.1,2.9,1.4,2.6,5.6,2,19.5,8.6,4.9,5.4,3.6,9.3,9.4,5.5,9.6,33.8,6,0.328,0.953,0.453,0.483,0.69,0.897,0.441,0.251,0.667,0.527,1.733,0.477,0.482,1.011,0.284,0.625,0.492,
CAS 231510,Micryletta aishani,Myanmar,Kachin,25.259222,96.330028,Male,1,6.1,5.9,2.6,1.5,2.4,5.2,1.6,20.8,7.6,5.3,5.7,3.8,9.5,9.7,5.7,11.6,36.5,6,0.293,0.967,0.426,0.577,0.615,0.923,0.365,0.255,0.667,0.558,1.755,0.457,0.466,1.021,0.318,0.517,0.558,
CAS 231511,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,5.7,6.3,2.9,1.6,2.2,5.1,1.7,21.3,8.6,4.9,5.7,3.7,10,9.5,5.8,10.7,36,6.3,0.268,1.105,0.509,0.552,0.586,0.759,0.404,0.23,0.649,0.49,1.69,0.469,0.446,0.95,0.297,0.589,0.502,
CAS 231512,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,6.3,6.3,3,1.7,2.5,5.1,1.8,20.6,8.9,5.2,5.6,4,10.4,10.1,6.3,11.2,38,6.8,0.306,1,0.476,0.567,0.6,0.833,0.432,0.252,0.714,0.5,1.845,0.505,0.49,0.971,0.295,0.607,0.544,
CAS 231513,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,5.8,5.4,3,1.6,2.3,5,1.8,21.8,9.5,5.7,5.5,3.9,10.1,9.9,5.7,11.4,37.1,7.2,0.266,0.931,0.517,0.533,0.6,0.767,0.436,0.261,0.709,0.564,1.702,0.463,0.454,0.98,0.307,0.632,0.523,
CAS 231514,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,5.8,6.1,2.5,1.6,2.4,4.7,1.7,19.8,8.6,5,5.3,3.7,9.1,8.9,5.4,10.2,33.6,6.4,0.293,1.052,0.431,0.64,0.68,0.96,0.434,0.253,0.698,0.549,1.697,0.46,0.449,0.978,0.304,0.627,0.515,
CAS 231515,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,6.1,5.8,2.5,1.6,2.2,5,1.9,20.1,8.5,5.2,5.3,3.8,9.1,9.3,5.6,9.8,33.8,6.1,0.303,0.951,0.41,0.64,0.76,0.88,0.423,0.259,0.717,0.571,1.682,0.453,0.463,1.022,0.29,0.622,0.488,
CAS 231516,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,6,6.1,2.6,1.4,2.2,4.9,1.9,21.1,9.6,5.8,5.9,4.6,10.6,10.2,5.8,11.6,38.2,6.9,0.284,1.017,0.433,0.538,0.731,0.846,0.455,0.275,0.78,0.547,1.81,0.502,0.483,0.962,0.304,0.595,0.55,
CAS 231518,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,6.3,6.4,2.7,1.5,2,4.9,1.6,19.9,9,5.3,5.3,3.6,9.5,9.5,5.4,10.2,34.6,5.9,0.317,1.016,0.429,0.556,0.593,0.741,0.452,0.266,0.679,0.558,1.739,0.477,0.477,1,0.295,0.578,0.513,
CAS 231519,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,6,6,2.4,1.4,2.3,5,1.7,19.5,9.3,5.6,6.5,4.3,9.1,9.7,5.8,10.9,35.5,6.7,0.308,1,0.4,0.583,0.708,0.958,0.477,0.287,0.662,0.615,1.821,0.467,0.497,1.066,0.307,0.615,0.559,
NCS M76421,Micryletta cf. inornata,Laos,Savannakhet,16.9504,105.897,Female,1,7.4,8.6,3.3,1.8,2.9,6.6,2.3,26.1,10.5,7.2,7.5,5.4,12.6,11.9,7.7,13.2,45.4,8.1,0.284,1.162,0.446,0.545,0.697,0.879,0.402,0.276,0.72,0.571,1.739,0.483,0.456,0.944,0.291,0.614,0.506,
NCSM 79331,Micryletta cf. inornata,Laos,Xaignabouli,19.4366,101.83,Female,1,7.8,7.7,3.2,1.9,2.9,6.6,2.1,24.5,10.4,6.8,6.8,4.9,11.5,11.8,7.5,13.3,44.1,8.1,0.318,0.987,0.41,0.594,0.656,0.906,0.424,0.278,0.721,0.591,1.8,0.469,0.482,1.026,0.302,0.609,0.543,
NCSM 85333,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.722,Female,1,7.7,7.9,3.2,1.7,3,6.3,2.2,25.9,13.8,6.6,6.6,4.8,12.1,10.4,6.7,11.7,40.9,6.9,0.297,1.026,0.416,0.531,0.688,0.938,0.533,0.255,0.727,0.545,1.579,0.467,0.402,0.86,0.286,0.59,0.452,
NCSM 85334,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.722,Female,1,8.6,8.3,3.5,2.1,3.4,7.1,2.5,30.7,16.6,7.8,8.5,6,12.7,13,7.5,14.4,47.6,7.6,0.28,0.965,0.407,0.6,0.714,0.971,0.541,0.254,0.706,0.614,1.55,0.414,0.423,1.024,0.303,0.528,0.469,
NCSM 85340,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.722,Female,1,7.2,7.4,3.2,1.7,2.9,5.6,2.3,23.2,10.8,5.8,6.5,4.7,9.9,9.9,6.2,10.9,36.9,6.8,0.31,1.028,0.444,0.531,0.719,0.906,0.466,0.25,0.723,0.586,1.591,0.427,0.427,1,0.295,0.624,0.47,
NCSM 85342,Micryletta cf. inornata,Laos,Khammouan,17.6432,105.735,Female,1,7.4,8.2,3.3,1.8,3.4,6.7,2.2,27.1,14.2,7,7.6,4.9,12.2,11.9,7.2,13.4,44.7,7.5,0.273,1.108,0.446,0.545,0.667,1.03,0.524,0.258,0.645,0.574,1.649,0.45,0.439,0.975,0.3,0.56,0.494,
NCSM 85343,Micryletta cf. inornata,Laos,Khammouan,17.6713,104.793,Female,1,7.7,8.8,3.3,2.1,2.8,7.6,2.6,28.9,14.4,7.1,8.2,5.7,13.3,13.3,8.3,14.5,49.4,8.9,0.266,1.143,0.429,0.636,0.788,0.848,0.498,0.246,0.695,0.534,1.709,0.46,0.46,1,0.294,0.614,0.502,
NCSM 85344,Micryletta cf. inornata,Laos,Khammouan,20.4543,104.185,Female,1,7.6,8.1,3.3,2,3.4,6.8,2.1,27.6,12.4,7.3,6.9,5.2,11.3,11.6,6.6,12.4,41.9,7.4,0.275,1.066,0.434,0.606,0.636,1.03,0.449,0.264,0.754,0.646,1.518,0.409,0.42,1.027,0.296,0.597,0.449,
NCSM 86702,Micryletta cf. inornata,Laos,Khammouan,20.4543,104.185,Female,1,6.9,7.3,2.9,1.9,2.4,5.8,1.9,22.9,9.9,6.5,6.9,4.9,11.6,11.3,6.9,12.5,42.3,7.7,0.301,1.058,0.42,0.655,0.655,0.828,0.432,0.284,0.71,0.56,1.847,0.507,0.493,0.974,0.296,0.616,0.546,
NCSM 86703,Micryletta cf. inornata,Laos,Khammouan,17.3414,105.187,Female,1,8.1,7.8,3.1,1.9,2.8,6.3,2,26.1,12.3,6.4,6.8,5,11.3,11,6.6,12.5,41.4,7.3,0.31,0.963,0.383,0.613,0.645,0.903,0.471,0.245,0.735,0.566,1.586,0.433,0.421,0.973,0.302,0.584,0.479,
BLS 16478,Micryletta cf. inornata,Laos,Khammouan,17.50479,105.38586,Female,1,8.3,9.5,3.6,2.1,3.4,7.1,2.3,29.5,15.5,7,7.8,6.1,12.1,12.2,7,13.2,44.5,8.2,0.281,1.145,0.434,0.583,0.639,0.944,0.525,0.237,0.782,0.579,1.508,0.41,0.414,1.008,0.297,0.621,0.447,
BLS 16136,Micryletta cf. inornata,Laos,Khammouan,17.64443,105.73669,Female,1,8.4,9.4,3.8,2.1,3.1,7.6,2.4,30.5,15.5,7.4,7.8,5.6,12.2,12.4,7.4,13.6,45.6,8.7,0.275,1.119,0.452,0.553,0.632,0.816,0.508,0.243,0.718,0.607,1.495,0.4,0.407,1.016,0.298,0.64,0.446,
USNM 101619,Micryletta cf. inornata,Thailand,Chiang Mai,18.796009,98.960779,Female,1,7.1,7.4,3.3,1.8,3.3,6.3,2.2,25.8,14.9,5.8,6.7,4.4,9.3,9,6.9,11.3,36.5,8.4,0.275,1.042,0.465,0.545,0.667,1,0.578,0.225,0.657,0.624,1.415,0.36,0.349,0.968,0.31,0.743,0.438,
USNM 103041,Micryletta cf. inornata,Thailand,Loei,16.955426,101.92639,Female,1,7.1,7.2,3.1,1.8,3,6.1,2.4,23.8,10.2,6.2,6.5,4.1,9.9,11.3,7,11.4,39.6,7.1,0.298,1.014,0.437,0.581,0.774,0.968,0.429,0.261,0.631,0.626,1.664,0.416,0.475,1.141,0.288,0.623,0.479,
USNM 205638,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.510412,101.930629,Female,1,8.3,8.7,3.2,2,3.2,6.1,2.3,29.1,17.1,7.2,7.1,5.1,12.2,11.8,6.8,13.4,44.2,7.7,0.285,1.048,0.386,0.625,0.719,1,0.588,0.247,0.718,0.59,1.519,0.419,0.405,0.967,0.303,0.575,0.46,
FMNH 182866,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.658456,101.937546,Female,1,7.5,7.9,3.5,1.9,3.2,6.7,2.3,26.7,12,7.1,7.3,5.3,10.9,11.7,6.8,13.3,42.7,7.5,0.281,1.053,0.467,0.543,0.657,0.914,0.449,0.266,0.726,0.651,1.599,0.408,0.438,1.073,0.311,0.564,0.498,
FMNH 182867,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.658456,101.937546,Female,1,7.9,8.3,3.3,2,2.8,6.8,2.5,27.6,12.5,7.1,7.3,4.8,11.9,11.6,7.1,12.9,43.5,7.9,0.286,1.051,0.418,0.606,0.758,0.848,0.453,0.257,0.658,0.597,1.576,0.431,0.42,0.975,0.297,0.612,0.467,
FMNH 182870,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.658456,101.937546,Female,1,7.7,8,3.6,2.3,3.2,6.9,2.4,26.5,12.4,6.8,7.2,4.8,11.2,11.5,7.6,13.1,43.4,7.4,0.291,1.039,0.468,0.639,0.667,0.889,0.468,0.257,0.667,0.607,1.638,0.423,0.434,1.027,0.302,0.565,0.494,
FMNH 182875,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.658456,101.937546,Female,1,7.8,8.4,3.5,2.2,3.1,7,2.5,27.8,13.6,6.7,7.3,4.9,12.1,12.5,7.8,13.3,45.7,8.5,0.281,1.077,0.449,0.629,0.714,0.886,0.489,0.241,0.671,0.554,1.644,0.435,0.45,1.033,0.291,0.639,0.478,
FMNH 182880,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.658456,101.937546,Female,1,7.6,6.7,3.1,1.8,2.8,5.7,2.1,25.7,11.6,6.6,6.8,4.8,10.8,11.7,6,11.2,39.7,6.8,0.296,0.882,0.408,0.581,0.677,0.903,0.451,0.257,0.706,0.611,1.545,0.42,0.455,1.083,0.282,0.607,0.436,
FMNH 182886,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.658456,101.937546,Female,1,8.4,9,3.5,1.9,3.3,6.8,2.3,26.9,12.2,6.9,6.9,4.8,11.5,10.8,6.5,12,40.8,7.9,0.312,1.071,0.417,0.543,0.657,0.943,0.454,0.257,0.696,0.6,1.517,0.428,0.401,0.939,0.294,0.658,0.446,
FMNH 174523,Micryletta cf. inornata,Thailand,Chiang Mai,18.79929,98.962598,Female,1,7.6,8.1,3.5,2.1,2.4,5.9,2.3,22.8,11.5,6.8,7.1,5,10.4,9.8,6.1,11,37.3,7.1,0.333,1.066,0.461,0.6,0.657,0.686,0.504,0.298,0.704,0.654,1.636,0.456,0.43,0.942,0.295,0.645,0.482,
FMNH 169487,Micryletta cf. inornata,Thailand,Chiang Mai,18.79929,98.962598,Female,1,7,7.3,3.3,1.8,2.8,6.4,2.4,25.5,13.6,5.8,6.8,4.5,10.9,11,6.3,10.6,38.8,7.2,0.275,1.043,0.471,0.545,0.727,0.848,0.533,0.227,0.662,0.532,1.522,0.427,0.431,1.009,0.273,0.679,0.416,
FMNH 169593,Micryletta cf. inornata,Thailand,Chiang Mai,18.79929,98.962598,Female,1,7.7,8.5,3.3,2,3.1,6.6,2.5,27.1,13.7,6.7,7.1,5.3,10.7,11.6,7.5,13,42.8,7.2,0.284,1.104,0.429,0.606,0.758,0.939,0.506,0.247,0.746,0.626,1.579,0.395,0.428,1.084,0.304,0.554,0.48,
FMNH 172855,Micryletta cf. inornata,Thailand,Chiang Mai,18.79929,98.962598,Female,1,8.4,8.2,3.2,1.8,2.9,6.8,2.6,24.9,11.8,6.7,7.3,4.8,11.8,11.1,6.5,11.9,41.3,7.6,0.337,0.976,0.381,0.563,0.813,0.906,0.474,0.269,0.658,0.568,1.659,0.474,0.446,0.941,0.288,0.639,0.478,
FMNH 173328,Micryletta cf. inornata,Thailand,Chon Buri,13.249219,101.208628,Female,1,7.2,7.4,3.2,1.9,2.8,5.9,2.1,24,12.5,5.9,6.2,4.4,9.7,10.6,6.5,10.6,37.4,6.7,0.3,1.028,0.444,0.594,0.656,0.875,0.521,0.246,0.71,0.608,1.558,0.404,0.442,1.093,0.283,0.632,0.442,
FMNH 173332,Micryletta cf. inornata,Thailand,Chiang Mai,18.79929,98.962598,Female,1,7.2,8,3.4,2.1,3.1,6.2,2.3,25.8,11.9,6.9,4.7,4.5,12.1,11.2,6.9,12.8,43,7.9,0.279,1.111,0.472,0.618,0.676,0.912,0.461,0.267,0.957,0.57,1.667,0.469,0.434,0.926,0.298,0.617,0.496,
NCSM 79155,Micryletta cf. inornata,Vietnam,Nghe An,18.8177,104.961,Female,1,8,7.6,3.2,2,3.1,6.2,2.1,28.2,13.8,7.3,7.3,5.1,11.4,11.2,5.6,12.7,40.9,8,0.284,0.95,0.4,0.625,0.656,0.969,0.489,0.259,0.699,0.64,1.45,0.404,0.397,0.982,0.311,0.63,0.45,
AMNH 191843,Micryletta cf. inornata,Vietnam,Nghe An,19.041208,104.807366,Female,1,6.3,7.5,3.2,1.4,2.7,5.7,2.2,25.2,13.2,6.3,7.3,4.8,10.4,10,4.9,11.3,36.6,7.7,0.25,1.19,0.508,0.438,0.688,0.844,0.524,0.25,0.658,0.606,1.452,0.413,0.397,0.962,0.309,0.681,0.448,
NCSM 85335,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.722,Male,1,6.3,6.7,2.8,1.5,2.9,5.7,2,20.3,8.1,5.9,6.1,4.4,9.5,9.6,6.1,10.7,35.9,7.1,0.31,1.063,0.444,0.536,0.714,1.036,0.399,0.291,0.721,0.621,1.768,0.468,0.473,1.011,0.298,0.664,0.527,
NCSM 85337,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.722,Male,1,6.3,6.8,3,1.7,2.7,5.7,2.3,21.8,9.8,5.4,6.3,4.4,10.1,9.8,5.9,10.3,36.1,6,0.289,1.079,0.476,0.567,0.767,0.9,0.45,0.248,0.698,0.535,1.656,0.463,0.45,0.97,0.285,0.583,0.472,
NCSM 85338,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.722,Male,1,6.4,7.3,3,1.7,3,6.1,1.9,22,10.7,6.3,5.4,4.1,10.7,10.1,5.1,10.4,36.3,6.7,0.291,1.141,0.469,0.567,0.633,1,0.486,0.286,0.759,0.589,1.65,0.486,0.459,0.944,0.287,0.644,0.473,
NCSM 85339,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.722,Male,1,6.7,7.1,2.9,1.7,2.7,5.9,1.9,22.2,10.7,6,6,4.2,10.1,9.8,6,11,36.9,6.8,0.302,1.06,0.433,0.586,0.655,0.931,0.482,0.27,0.7,0.594,1.662,0.455,0.441,0.97,0.298,0.618,0.495,
NCSM 85341,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.722,Male,1,6.6,7.2,2.8,1.6,3,5.7,1.9,21.1,8.6,5.3,5.5,4.2,9.2,9.5,5.7,10.2,34.6,6.4,0.313,1.091,0.424,0.571,0.679,1.071,0.408,0.251,0.764,0.576,1.64,0.436,0.45,1.033,0.295,0.627,0.483,
NCSM 86701,Micryletta cf. inornata,Laos,Houaphanh,20.3862,104.273,Male,1,6.3,7,2.9,1.6,2.6,5.7,2,20.7,9.6,5.9,6.4,4.3,10.1,10.6,6.7,11.5,38.9,6.8,0.304,1.111,0.46,0.552,0.69,0.897,0.464,0.285,0.672,0.584,1.879,0.488,0.512,1.05,0.296,0.591,0.556,
NCSM 86704,Micryletta cf. inornata,Laos,Khammouane,17.3414,105.187,Male,1,6.8,6.9,2.8,1.8,2.2,5.6,1.8,22,8.9,5.7,6.2,4.1,10.5,9.9,5.9,11.1,37.4,6.9,0.309,1.015,0.412,0.643,0.643,0.786,0.405,0.259,0.661,0.543,1.7,0.477,0.45,0.943,0.297,0.622,0.505,
BLS 15990,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.72236,Male,1,6.4,7.1,2.7,1.6,2.5,5.9,2.3,21.8,10.1,6.1,6.7,4.7,10.6,10.3,6.2,11.2,38.3,7,0.294,1.109,0.422,0.593,0.852,0.926,0.463,0.28,0.701,0.575,1.757,0.486,0.472,0.972,0.292,0.625,0.514,
BLS 16788,Micryletta cf. inornata,Laos,Savannakhet,16.97233,105.81163,Male,1,6.3,6.7,2.9,1.7,2.5,5.6,2.2,22,9.4,6.1,6.5,4.7,10.2,10.5,6.5,11.8,39,7.4,0.286,1.063,0.46,0.586,0.759,0.862,0.427,0.277,0.723,0.598,1.773,0.464,0.477,1.029,0.303,0.627,0.536,
BLS 17391,Micryletta cf. inornata,Laos,Khammouan,17.34145,105.18709,Male,1,7.3,7.4,3.2,2,2.6,5.3,2,24.2,9.9,6,6.9,5,11.2,10.7,5.8,10.1,37.8,6.8,0.302,1.014,0.438,0.625,0.625,0.813,0.409,0.248,0.725,0.536,1.562,0.463,0.442,0.955,0.267,0.673,0.417,
BLS 17394,Micryletta cf. inornata,Laos,Khammouan,17.34145,105.18709,Male,1,6.9,6.6,2.8,1.9,2.5,5.5,2,20.9,7.9,6,5.8,4.3,9.4,9.6,5.6,10.6,35.2,6.8,0.33,0.957,0.406,0.679,0.714,0.893,0.378,0.287,0.741,0.638,1.684,0.45,0.459,1.021,0.301,0.642,0.507,
BLS 15983,Micryletta cf. inornata,Laos,Khammouan,17.5729,105.72236,Male,1,6.1,6.7,2.9,1.5,2.6,5.7,1.9,19.6,8.9,6,5.6,3.9,9.6,9.6,5.8,10.2,35.2,5.9,0.311,1.098,0.475,0.517,0.655,0.897,0.454,0.306,0.696,0.625,1.796,0.49,0.49,1,0.29,0.578,0.52,
FMNH 182865,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.658456,101.937546,Male,1,6.8,7.3,3,1.7,2.9,5.5,2,21.6,10.1,5.4,4.6,2.7,9.7,9.8,5.9,10.4,35.8,7.3,0.315,1.074,0.441,0.567,0.667,0.967,0.468,0.25,0.587,0.557,1.657,0.449,0.454,1.01,0.291,0.702,0.481,
FMNH 182869,Micryletta cf. inornata,Thailand,Nakhon Ratchasima,14.658456,101.937546,Male,1,6.6,7.1,3,2,2.8,5.6,2.1,23.2,10.8,5.6,6,4.2,9.5,10.3,5.9,11.2,36.9,6.5,0.284,1.076,0.455,0.667,0.7,0.933,0.466,0.241,0.7,0.589,1.591,0.409,0.444,1.084,0.304,0.58,0.483,
